id,age,name,last_name,sex,married,income,childrens,weight,height
35,67,Bonnie,Stevens,Male,No,35554.57678592272,,77.63622077042783,183.71281781561322
36,67,Rodney,Smith,Male,No,48108.899027649655,2.0,101.3237610228062,174.92692734532667
37,43,Keith,Baldwin,Male,Yes,39702.66233895287,0.0,63.758682439742415,165.9557705889877
38,20,Jessica,Campbell,Female,Yes,33620.51050724014,1.0,,
39,22,Karen,Smith,Male,No,35173.212688845815,1.0,76.07365688256796,176.15417717577287
40,27,Jasmine,Fuentes,Male,No,34132.42538256213,3.0,85.9217010994476,175.405301884722
41,26,Cody,Lawrence,Male,No,9945.079483693753,,48.73390108365395,172.01911736842223
42,23,Nicholas,Ryan,Female,Yes,38994.825876213945,3.0,59.453254345026195,149.57445870365547
43,42,Rebecca,Stokes,Male,Yes,35334.57188926165,2.0,99.79223479657881,
44,75,Dustin,Mata,Male,No,35201.88809002903,2.0,71.36296791919544,174.05768332125848
45,68,Samantha,Rogers,Male,Yes,42839.02934440868,2.0,71.47746063152101,175.60538719382453
46,60,Jocelyn,Reed,Female,No,26630.21766546853,2.0,68.62498401581898,154.28867908314808
47,18,Stephen,Collier,Male,Yes,-45036.9821336385,1.0,88.79631834166244,174.86306971054958
48,38,Rachel,Murphy,Female,No,40068.16284096032,1.0,59.36514806780271,151.49305277168932
49,28,David,Hamilton,Female,Yes,35302.28318364624,1.0,75.08067191075484,169.56182134309367
50,62,Haley,Foster,Male,No,39575.62752148078,0.0,85.88359414427596,165.79096814675955
51,34,Robert,Todd,Male,Yes,30866.20969912987,3.0,94.59804304773957,193.1484946208837
52,43,William,Davenport,Male,Yes,40310.53122097098,1.0,92.90322811495449,178.91860128074893
53,73,John,Bonilla,Male,Yes,50922.4044872647,3.0,87.02704440927243,162.53173124196815
54,62,Rachel,Velez,Male,Yes,31241.45257575512,2.0,73.68833745613841,176.25681180941692
55,43,Cheryl,Lee,Male,No,29276.575144542494,0.0,63.8165359120438,169.18950521422678
56,59,Rachel,Newton,Male,Yes,35963.53860935386,0.0,59.01762581851017,178.33599107654172
57,27,Benjamin,Gross,Female,No,36734.89327334962,2.0,50.752062734121594,157.5564878000408
58,40,Angela,Goodwin,Male,No,37188.45916985865,3.0,77.62117338910632,170.260132354988
59,53,Carlos,White,Female,No,-37567.623287154434,1.0,71.87205059109344,152.06667325938542
60,47,Jonathan,Davis,Male,No,31850.900277940338,0.0,78.11723663067337,174.89988180342107
61,26,Michelle,Cox,Male,No,27275.861323865192,2.0,68.09154292837965,198.57252443034787
62,67,Adam,Lee,Male,Yes,41666.630125719064,3.0,72.22630162453089,169.81955028282886
63,70,Patricia,Allen,Female,Yes,35815.14914005888,0.0,63.42814034090498,164.19426282431124
64,61,William,Griffin,Male,No,25587.744337705415,3.0,77.87614201161507,177.3057764339609
65,28,Mark,Roberts,Male,No,16083.621998153098,2.0,41.730100853456165,181.0002592952926
66,40,Miguel,Ball,Male,Yes,43597.101733585834,,94.7504927541465,177.33550124552156
67,46,Amanda,Mueller,Female,No,18934.011448270532,1.0,,162.6659163255895
68,77,Amanda,Hines,Male,Yes,62353.88253473774,1.0,83.16154278034556,167.74475669759494
69,60,Jeremy,White,Female,Yes,23805.410659146248,1.0,64.66512279210318,160.81252025518134
70,23,Keith,Jones,Male,Yes,23786.877664202846,0.0,73.12107915003347,159.06914983230652
71,69,Scott,Stanley,Female,Yes,41087.91082122155,2.0,73.56404662918317,139.70557777877872
72,31,Richard,Lewis,Male,Yes,29277.996756498687,1.0,79.54606823993923,170.13733768418842
73,27,Joshua,Taylor,Male,No,26492.498434313893,2.0,71.88496449460169,180.94360065597922
74,18,Valerie,Lucas,Male,Yes,34666.984211834155,1.0,82.17102777373542,194.3451323191135
75,27,Stephen,Mendez,Female,Yes,21320.65579355279,0.0,45.19562410655152,144.95244857430862
76,40,Dylan,Vance,Male,Yes,47897.53884232224,2.0,59.66970724873303,186.9452910077059
77,68,Donald,Woodward,Female,Yes,40228.25707231792,3.0,87.95542061723052,147.76354503085932
78,78,Rebecca,Reed,Female,No,52376.971332382294,0.0,46.67518096369442,150.28814565656117
79,79,Jennifer,Dawson,Female,No,32468.365297640892,0.0,66.53968673583933,154.13028196617284
80,40,Sarah,Martinez,Male,No,45760.75146085758,3.0,65.01930504128813,181.86166116686243
81,46,Rebecca,Medina,Female,Yes,20834.943890217935,1.0,75.67320675414994,165.402328623202
82,53,Lisa,Randolph,Male,No,32244.94227634147,0.0,104.23671980567175,
83,53,Denise,Carter,Female,Yes,,3.0,64.65503219128041,156.13634354704544
84,59,Laura,Duncan,Male,Yes,21017.962576160124,0.0,111.80728075338732,167.41237257129308
85,37,Courtney,Barnes,Male,Yes,29624.84989679615,1.0,84.30709161186132,179.08431459716346
86,65,Martin,Moore,Male,No,41973.1511451461,1.0,148.22369197399877,173.36548649740217
87,63,Linda,Buckley,Male,Yes,24260.385909701676,3.0,121.54750982514625,161.83272621986478
88,28,Susan,Morrow,Female,Yes,-22265.040180098924,1.0,9.473353692226631,152.11511949880202
89,19,Alexis,Hobbs,Male,No,26853.97983544796,3.0,87.94492947139359,165.18978744120434
90,48,Laura,Evans,Female,No,42791.393528601235,2.0,55.4347882469947,146.60819110943453
91,73,Kimberly,Schneider,Male,No,35927.806219560676,2.0,80.16597827083001,184.73763805841713
92,25,Jermaine,Blackburn,Male,No,39812.187968503524,1.0,78.97462494849553,
93,19,Douglas,Drake,Male,Yes,33718.839852344514,0.0,62.417154913320935,168.24452897567483
94,41,David,Campbell,Male,No,33285.18570959338,0.0,,
95,62,Parker,Hobbs,Male,Yes,40877.20706833356,1.0,70.28599759592356,186.5911142759511
96,31,Timothy,Jackson,Male,Yes,35153.71300953999,1.0,63.48461723516603,177.0854384735688
97,45,Shawn,Hartman,Male,No,46484.242082666555,0.0,7.976695723499873,182.85879056741666
98,42,Miranda,Cruz,Male,Yes,41337.26576717674,0.0,65.90665510891098,179.8347949384101
99,42,Catherine,Sanchez,Male,Yes,50887.93748038031,,67.16059096162019,164.63010639119753
100,41,Nicole,Rodriguez,Female,No,34366.54333055747,3.0,73.11010539324103,142.80438183173902
101,54,Daniel,Alexander,Female,No,28356.85318050215,0.0,65.32346585569373,145.3975904224467
102,27,Matthew,Clark,Female,Yes,-39601.65412303834,,49.42344425435751,169.3775574306286
103,35,Lindsey,Rivas,Female,Yes,36220.934624337184,1.0,57.887228483429254,143.46306520466905
104,74,Alexandra,Sweeney,Female,Yes,35064.03573438396,3.0,65.53545504347959,160.54181428160146
105,49,David,Barker,Male,Yes,28350.287588002167,2.0,98.49586919625222,165.48399092953215
106,70,Billy,Cruz,Female,Yes,53949.82067922634,0.0,67.55119172803641,170.2043945915485
107,34,Andrew,Roberts,Female,Yes,36810.290995815594,0.0,41.2150919160796,
108,72,Jeffrey,Santana,Female,No,67375.29032368961,1.0,62.925983481875924,149.84927084829363
109,34,James,Miller,Male,No,19464.899628406132,0.0,114.05376009178268,157.88754344027953
110,37,Laura,Myers,Male,Yes,-32031.3709529002,0.0,93.16292519978781,171.5657630226162
111,35,Nicholas,Williamson,Male,No,41493.30949422758,3.0,49.594956545779844,187.25457825477892
112,32,John,Barnes,Male,Yes,31834.25645301563,2.0,,
113,56,Curtis,Lowe,Male,No,32029.687697200938,3.0,94.00356688012607,166.54995237079052
114,66,Troy,Padilla,Female,No,31896.711499698806,1.0,68.45250773910276,141.68656867147445
115,18,Melissa,Vaughn,Male,No,13131.464642694966,,101.49634404919499,163.08613800135686
116,63,Anita,Davis,Female,No,26037.390424787758,2.0,72.41737661000005,146.59181539294121
117,37,Lisa,Garcia,Female,No,62659.80005249256,3.0,60.42137730459381,145.79054543059618
118,52,Linda,Moore,Male,Yes,32664.918986804158,3.0,80.53685134417131,166.19758005401704
119,76,Anita,Ferguson,Male,No,45018.15544943122,2.0,105.83499777802733,175.78833088331533
120,66,Anna,Newton,Female,Yes,36570.280170723694,0.0,72.93144958481162,163.77007206758492
121,19,Sheryl,Macias,Male,Yes,37323.95492452893,2.0,91.38635449566597,190.60587708809098
122,73,Laurie,Tran,Male,Yes,42952.19945458884,0.0,81.15074443951211,180.8036201017021
123,30,Latoya,Hansen,Male,No,15460.567167771966,3.0,75.51967256631694,160.26772334376992
124,35,Tina,Benjamin,Female,Yes,22254.543158367167,0.0,44.91086449452388,161.10654058817016
125,23,Billy,Parker,Male,Yes,23586.881006038006,3.0,82.69917037312692,203.07112413425446
126,27,Alexander,Thomas,Male,Yes,23611.64314691136,0.0,80.62665249875144,174.5551038133177
127,25,Joyce,Thompson,Male,Yes,19705.78848563827,3.0,86.02467651151629,182.24240733971016
128,61,Tonya,Miller,Male,Yes,29590.88887636616,2.0,96.3896336627942,176.19204407581404
129,47,David,Deleon,Male,Yes,38898.515417525574,,,
130,23,Alexander,Ritter,Male,Yes,5572.411831863996,2.0,68.50388963012571,175.10121825720842
131,60,David,Moore,Male,Yes,30370.50316539577,3.0,73.58588189589392,167.35568286144033
132,53,Donna,Kaufman,Male,Yes,42545.53215600982,1.0,74.26225230553574,178.32578904085955
133,66,Colleen,Gonzalez,Male,No,47361.87990535655,1.0,71.52883041727654,163.81768630111193
134,78,Taylor,Rodriguez,Male,Yes,42607.56733536418,1.0,87.54410215463251,183.46663649161874
135,76,Cody,Costa,Male,No,61443.128523729356,0.0,77.29903907981615,172.92123878758972
136,41,Catherine,Turner,Male,Yes,33279.92105518369,3.0,66.88984755990803,178.7438481076384
137,38,Amber,Cox,Male,No,37824.4033834087,0.0,29.683738005468356,181.03634832785005
138,34,Mary,Henry,Male,No,31321.735190298572,3.0,60.75402292177358,178.82921994505398
139,35,Sydney,Jones,Female,Yes,-16877.46670257331,1.0,68.44683956131173,150.21021613735707
140,79,Robert,White,Male,No,39593.49199381856,2.0,105.28885695150073,188.03180356312004
141,70,Nicole,Wood,Male,Yes,31757.281518228985,1.0,70.6113413797841,
142,41,Jorge,Armstrong,Female,No,32446.477100662625,1.0,62.74401955485796,153.12125538560883
143,30,Tiffany,Miller,Female,Yes,34126.39698434251,2.0,84.72805067280854,162.14393860808974
144,59,Derek,Woods,Female,Yes,29419.737058363484,1.0,113.74886233960319,162.56026127080804
145,30,Brandi,Johnson,Male,Yes,43236.54980266696,1.0,82.55016259349085,177.35995587882613
146,78,Todd,Johnson,Male,No,49308.89641845779,0.0,58.692906042358516,160.08732499220272
147,28,Adam,Hernandez,Female,Yes,19446.078823191783,3.0,62.37036176300991,168.66317211573826
148,45,Jerome,Johnson,Male,Yes,39303.16665299817,1.0,101.10352628616116,
149,59,James,Dalton,Male,No,27466.249989815136,0.0,87.81940875558692,167.8457550626807
150,67,Dennis,Wallace,Male,No,42866.93332301111,1.0,52.69994229237675,160.22429265047154
151,80,Elizabeth,Kim,Male,No,29108.00688966814,1.0,98.80647055106522,171.97805463288026
152,57,Seth,Smith,Male,No,34419.83114661303,0.0,91.84666974008991,181.16037430813424
153,23,Nicholas,Jones,Male,Yes,43630.87818377461,3.0,134.2002464053934,184.64205517188162
154,66,Linda,Hoffman,Female,Yes,47705.858119294615,1.0,32.329920891587015,152.46032708647806
155,45,Barbara,Mitchell,Male,No,39146.03050950572,3.0,99.68765397346101,183.4541099062931
156,71,Nicholas,Rivera,Male,No,34669.26008006218,3.0,92.62463025866109,175.0816887594878
157,44,Joshua,Gonzalez,Female,No,36242.159936594886,0.0,44.86406200876357,154.0616062790538
158,22,Sara,Miller,Male,Yes,29129.225661681347,0.0,94.46919468418733,183.66472443455172
159,42,Robin,Davis,Female,No,34709.78639199542,2.0,79.77929222614017,176.51551707859693
160,38,Allison,Beasley,Male,No,28777.43422952614,3.0,60.120744305158276,172.42167814725653
161,58,Brian,Daniels,Female,Yes,58335.84607734828,1.0,6.764739483106823,161.29450766914837
162,78,Keith,Nolan,Female,Yes,49489.61512712507,2.0,61.16769546937866,155.3671287588564
163,75,Michele,Sellers,Male,No,60762.068964814986,3.0,72.62421398328145,196.0153634175269
164,53,David,Schwartz,Male,Yes,24885.91277598349,3.0,83.93854482477494,167.1576621396583
165,30,John,Perez,Female,Yes,30920.073338641065,1.0,72.12034846508834,168.210394439464
166,62,Stephanie,Johnson,Male,No,43113.80367368072,1.0,78.58829484752943,178.19495514616173
167,26,Amber,Brown,Male,Yes,38927.275213991816,2.0,106.44661897769457,170.92912949880215
168,29,Tiffany,Walsh,Female,No,23379.279155441778,2.0,38.34878865698582,145.59775960867438
169,28,Brianna,Keller,Male,No,31988.420277097262,2.0,70.37318094973816,156.14039262092294
170,40,Jennifer,Hurley,Male,No,31149.84434723714,1.0,69.04043876670076,173.5620432466665
171,69,Rebecca,Thomas,Male,Yes,38686.29075278194,1.0,94.32921510905523,187.66752348123686
172,52,Julie,West,Male,No,44667.885449746216,0.0,86.45693174965544,196.01843776774467
173,37,Shannon,Miller,Male,Yes,32645.459972329398,3.0,83.57301181824431,159.98533271600985
174,20,Jennifer,Murphy,Female,No,18084.288190419546,2.0,78.46573321514309,142.24853154450298
175,38,Amy,Carrillo,Male,No,20486.808814632448,1.0,,
176,19,Cheryl,Ward,Male,Yes,40748.66166321776,3.0,85.90877549596976,176.3676175035068
177,56,Wesley,Green,Female,No,44813.17349516282,0.0,40.723662192563,179.37991733371928
178,33,Belinda,Cooper,Female,Yes,15338.178500999744,1.0,46.98793965732034,149.71429663306535
179,43,William,Anderson,Male,No,43927.38389400667,3.0,101.69794483690765,171.83524225947352
180,65,Brenda,Duncan,Male,No,44982.09581385903,2.0,65.72428435296044,186.16901504446335
181,53,Tony,Carlson,Male,No,32458.93140876499,1.0,78.73771221714776,180.3873676543305
182,43,Kelly,Cortez,Female,Yes,42131.43705628093,3.0,70.52198441467017,176.12916007652257
183,49,Leslie,Scott,Male,No,24400.81215129664,3.0,33.96977370632082,174.39747307293075
184,30,Brandon,Shaw,Male,No,,1.0,86.06250023713956,175.7701932752992
185,18,Casey,Harris,Male,No,17444.087568604904,3.0,89.12160985828476,188.62793797108725
186,75,Michael,Patterson,Male,No,30356.998887426686,1.0,88.71015023770136,154.09394231664055
187,44,Nicholas,Johnson,Male,No,-30297.331769051838,3.0,63.18868317746991,158.1900178695543
188,34,Rhonda,Lopez,Male,No,30157.47864572994,2.0,82.87497009105118,167.6797837241534
189,38,Dwayne,Schultz,Female,Yes,32833.649967307654,3.0,78.22298161936709,146.58726014195003
190,75,David,Schultz,Male,Yes,57025.737483123245,1.0,80.77369647465562,169.30792932573723
191,58,Victor,Lopez,Female,Yes,23866.265542875037,1.0,64.39538718413563,157.7863044107487
192,41,Nancy,Thompson,Male,Yes,34991.151029065,0.0,102.06205279427186,176.19946709873062
193,44,Chelsea,Leonard,Male,No,43549.584135827376,3.0,83.31785452670125,170.7669218377364
194,27,Stephanie,Ho,Female,Yes,36432.207989178256,2.0,86.48406197631121,
195,30,Marisa,Murphy,Male,No,26046.934278755074,,,
196,35,Michael,Long,Male,No,35433.00717559075,0.0,87.05826523025237,162.17837827640352
197,43,Lisa,Smith,Female,No,28999.196008207244,0.0,80.29849277504852,160.55169807423525
198,20,Denise,Barnes,Female,No,32508.228551504115,0.0,62.501048548468994,
199,21,Ronald,Cardenas,Female,Yes,42383.97279311837,1.0,89.75863979970961,165.868759826471
200,70,Emily,Brown,Male,No,44716.150465200735,3.0,86.18538497995645,169.43904995660148
201,22,Benjamin,Anderson,Female,Yes,34178.9243438197,2.0,62.68948763439164,160.56087547468644
202,30,Donald,Houston,Male,Yes,31389.98068401329,2.0,105.23223898927351,177.72061943627537
203,43,Michelle,Harris,Female,No,26059.303157185917,3.0,66.50646844802682,137.0637897093232
204,72,Corey,Rivera,Male,No,54908.57603379303,,88.90535873881949,176.37000054898638
205,63,Deanna,Nguyen,Male,No,39517.34662258037,2.0,79.66956376671841,174.30488580212022
206,38,Maria,Hoover,Male,No,45412.87602475487,0.0,75.24343717804052,156.06154428385855
207,63,Kimberly,Brown,Female,Yes,47402.27080283081,2.0,49.89593347125384,142.87402550795727
208,75,James,Burke,Male,Yes,37051.88131128217,1.0,54.18352019654368,164.33643757985968
209,59,Kimberly,Williams,Male,No,-42692.15584916734,3.0,0.09909115160272108,166.3817578831968
210,53,Eric,Woods,Male,No,-39197.796028741795,0.0,92.58403698276695,179.5491012203272
211,34,Kiara,Rodriguez,Female,No,35124.07032585257,0.0,73.26426388395676,155.98775116404624
212,66,Mary,Mckinney,Female,Yes,39376.792924134774,0.0,70.17103353003036,153.11624972845496
213,32,Jason,Johnson,Male,No,38255.29805009151,2.0,71.95388562645739,171.54430250763735
214,73,Rose,Barry,Male,No,53993.86058108667,0.0,63.19003162915789,178.69971801120832
215,33,Melinda,Moran,Male,No,34740.316301986604,1.0,89.70680749545124,158.9032794179213
216,75,Ethan,Lee,Male,Yes,62183.36490349362,2.0,90.8818002682481,176.48958628429745
217,50,Heather,Thomas,Male,Yes,34268.774456715844,2.0,103.0324694140657,149.79864580957576
218,29,Michelle,Cook,Male,Yes,27668.843776705424,3.0,97.72794281228117,185.01744922108517
219,37,Cynthia,West,Male,Yes,15357.170511197277,2.0,108.73987179673824,174.86041349614703
220,71,Jennifer,Clarke,Female,No,43214.04085399631,2.0,56.08897370251607,143.43361716613651
221,42,Amy,Maxwell,Female,Yes,22351.133561005026,3.0,53.665897730261406,156.33970432368255
222,28,Jeremiah,Schaefer,Female,Yes,19987.432458926312,2.0,78.51703169972629,161.21589754290164
223,60,Robert,Bowen,Male,No,43064.003102535746,,102.72060121607788,171.58961952833585
224,74,Edward,Floyd,Male,No,46393.7060025867,2.0,81.07805558741755,176.9882542591544
225,58,Mary,Lopez,Male,Yes,45324.14602709545,3.0,81.70433319348946,167.56349801487124
226,61,Bridget,Pineda,Female,No,-69576.52410235604,3.0,,
227,25,Scott,Moses,Female,Yes,34469.10538209021,0.0,55.05196266116251,186.11494612040423
228,36,Michael,Le,Male,Yes,33833.090199782004,0.0,90.07680215938531,187.00397247815394
229,46,Karen,White,Female,Yes,40455.86972692816,3.0,64.39036662035892,146.52493924852746
230,31,Jason,Jacobs,Male,No,27951.091652809155,0.0,72.72346915434055,173.25589259588938
231,71,Ashley,Newman,Female,No,-46673.81912809037,3.0,85.05135143324722,151.94770466462097
232,38,Robert,Rodriguez,Female,No,26560.563091200023,1.0,54.23401546064272,153.89359744587003
233,48,Elizabeth,Scott,Male,Yes,29962.744124559566,2.0,142.7824905022443,175.80567409675626
234,75,Kayla,Tucker,Female,Yes,40731.0927418339,1.0,49.48067524203302,154.52757660071947
235,23,Ashley,Harmon,Male,No,45239.02911686587,3.0,47.470271224779026,174.86229716709954
236,61,Jeremiah,Anderson,Female,No,-47361.881758312404,2.0,73.46149449773476,159.10628089883014
237,79,Theresa,Dodson,Female,No,39744.48802946828,3.0,68.10063894069198,141.2144593440206
238,67,Marcus,Stein,Male,No,50967.77063265437,3.0,109.55767887372781,178.082916705224
239,53,Cameron,Wells,Male,Yes,36093.25515289255,3.0,95.08330420942426,169.76698072687012
240,32,Leonard,Hodges,Male,No,47899.15153028508,2.0,111.3038948509978,168.49679443467275
241,24,Sharon,Robinson,Male,No,19366.233521116068,3.0,61.06136813026447,167.15327213827553
242,29,Riley,Adams,Male,No,25654.274382339227,3.0,64.97693521658537,
243,71,Walter,Compton,Female,Yes,57771.17427413368,3.0,112.59378189851502,165.7152301957711
244,79,Gregory,Oliver,Female,No,39692.37343972349,2.0,64.6980413072216,181.89452932721315
245,22,Steven,Davis,Female,No,32119.24685983695,2.0,57.32805628413773,157.78136889991657
246,28,Kevin,Gregory,Female,Yes,39398.83043562757,,82.03332260602625,156.38547517570856
247,52,Leslie,Martinez,Female,Yes,31641.234871268953,1.0,48.22029961309496,160.16615021841608
248,38,Elizabeth,Floyd,Male,Yes,36462.83951094701,3.0,88.30526654619179,
249,23,Chad,Farmer,Female,No,27834.613186943352,,60.10660725385028,158.60097731724025
250,37,John,Noble,Male,No,38413.92028116866,0.0,88.63627100376314,183.02894432455193
251,51,Jon,Wagner,Female,Yes,49645.80668857097,1.0,82.49019152397632,170.059888839501
252,21,Melissa,Stevens,Female,Yes,,3.0,59.674828052518386,160.40766470069232
253,59,Sandra,Flores,Male,No,22644.25335668957,0.0,71.10552943026836,178.281194199826
254,61,Briana,Cruz,Male,Yes,28640.903084607467,3.0,100.23142952001808,171.86831000616212
255,71,Gregory,Williams,Male,Yes,56096.92913961184,0.0,87.75775117904001,180.17985759989875
256,40,Shane,Johnson,Male,No,39404.2119338296,1.0,62.789032209137964,159.01081008678423
257,56,Sophia,Schroeder,Female,No,37683.267114198155,0.0,61.838639534116886,154.440190154157
258,79,Dana,Garza,Male,Yes,47834.70610321388,3.0,69.83258382873228,172.48406710900895
259,53,Kelsey,Sampson,Female,No,35551.873401083794,0.0,71.89516627968845,143.82873218305673
260,52,Charles,Dixon,Female,No,48376.82334874146,1.0,42.45180724268597,146.85110617490037
261,71,Jennifer,Gray,Male,Yes,53939.701612529825,1.0,79.15957543011136,174.79286854572138
262,21,Jessica,Price,Male,No,19947.43778731089,0.0,74.8839833858561,168.95723709798918
263,65,Karen,Sweeney,Female,No,47659.406654719016,3.0,66.05960874701711,150.1062271295434
264,57,Barbara,Cherry,Male,Yes,29641.586920359194,0.0,112.09744292595889,174.53786453369472
265,69,Ernest,Mathis,Female,Yes,54336.13352989003,3.0,42.07391575368238,163.10315514897727
266,18,Louis,Cameron,Male,No,31186.788395316387,0.0,86.86092015334185,179.46508615684982
267,31,Mary,Hodges,Male,Yes,36740.251099584646,2.0,79.5446550662859,177.60131278014958
268,19,James,Rodriguez,Male,No,5190.166051487951,0.0,97.69660154229129,179.81774565240175
269,58,Leslie,Guerrero,Male,Yes,36251.77416438479,3.0,94.79060106232663,170.82442032625923
270,24,Jacob,Bailey,Male,No,27301.171443242194,,93.47227548905391,186.32422143679688
271,78,Anthony,Houston,Female,Yes,52095.27197612441,3.0,41.19808582986083,168.48806120349525
272,70,Ashley,Patrick,Male,No,35181.39862576459,1.0,65.32202778902439,165.6157641401949
273,66,Manuel,Mcintosh,Male,No,23906.821800730468,0.0,89.42758298727365,179.45445455794277
274,42,Margaret,Murphy,Male,No,29438.549520274868,3.0,88.2379660289802,164.47698332537405
275,37,Michael,Ray,Male,Yes,16355.580434747688,3.0,67.8249265630998,178.8931967785107
276,72,Thomas,Ross,Female,No,64544.7270087973,1.0,66.85360229880767,157.07236524999237
277,55,Robert,Wall,Male,Yes,43590.154035285224,1.0,61.43021270776627,191.17479762418404
278,55,David,Perez,Female,Yes,45770.26418817956,3.0,60.602916720280426,156.65224214453966
279,57,Joseph,Johnson,Female,Yes,23469.623516045034,0.0,52.65910948827448,148.43576317221007
280,36,Julia,Jones,Female,Yes,31633.49993860224,2.0,66.42380631829381,175.2123419815627
281,24,Lori,Brown,Male,No,29839.414345678815,0.0,84.81756675013749,172.49515883107057
282,28,Madison,Mccormick,Female,Yes,30468.577656880738,2.0,114.5340152466076,153.07828559883052
283,57,Laura,Herring,Male,No,41436.027801561904,2.0,111.53792651465315,176.11379140588818
284,58,Michael,Baker,Female,Yes,24072.419953422213,,82.76641104151221,171.2759115277894
285,22,Christina,Peterson,Female,Yes,16089.932422363523,0.0,59.42092065386042,153.59772941620656
286,72,Gabrielle,Beard,Male,Yes,53186.36468690322,2.0,74.47040260412987,163.65938264827514
287,26,Matthew,Kelley,Male,No,23008.60880363651,3.0,92.85399996329102,171.49757506118397
288,22,Richard,Ford,Female,No,39052.95416865384,1.0,34.455438586132416,159.42426156478257
289,21,Jennifer,Mccarty,Male,Yes,3141.092961008817,,67.1478782980985,177.16747034297146
290,25,Carolyn,Willis,Female,Yes,40322.66669771293,2.0,79.11304145645654,183.71242449509634
291,59,Thomas,Gutierrez,Female,Yes,50571.544432926436,0.0,74.03564263524801,162.92041807414617
292,52,Stephen,Rogers,Male,No,26201.33250672034,2.0,88.41011158599231,
293,38,James,Young,Female,No,12918.923419731429,0.0,57.94243412361726,158.88874658898789
294,28,James,Wright,Male,Yes,33620.82124611369,1.0,95.80713213485909,
295,76,Rhonda,Hernandez,Female,No,38330.35965068576,0.0,,167.15757167786802
296,41,Jacqueline,Gibson,Female,Yes,32612.898096749213,1.0,59.72223015350781,164.70020981424244
297,65,Matthew,Owens,Male,Yes,36290.337149494786,3.0,76.17992159640032,148.8851086531241
298,78,Andrea,Lopez,Female,No,22711.34776394401,2.0,108.49820165364291,164.59709161225945
299,38,Tamara,Erickson,Female,Yes,23422.35895470561,,64.91246405871016,151.37720371231518
300,52,Leslie,Lynch,Male,No,41279.34827012381,0.0,87.49670169444991,172.8543581126686
